Title,Authors,pdf,supp,arXiv
PACER+: On-Demand Pedestrian Animation Controller in Driving Scenarios,"Jingbo Wang, Zhengyi Luo, Ye Yuan, Yixuan Li, Bo Dai",https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_PACER_On-Demand_Pedestrian_Animation_Controller_in_Driving_Scenarios_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_PACER_On-Demand_Pedestrian_CVPR_2024_supplemental.pdf,
LTM: Lightweight Textured Mesh Extraction and Refinement of Large Unbounded Scenes for Efficient Storage and Real-time Rendering,"Jaehoon Choi, Rajvi Shah, Qinbo Li, Yipeng Wang, Ayush Saraf, Changil Kim, Jia-Bin Huang, Dinesh Manocha, Suhib Alsisan, Johannes Kopf",https://openaccess.thecvf.com/content/CVPR2024/papers/Choi_LTM_Lightweight_Textured_Mesh_Extraction_and_Refinement_of_Large_Unbounded_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Choi_LTM_Lightweight_Textured_CVPR_2024_supplemental.pdf,
Don't Drop Your Samples! Coherence-Aware Training Benefits Conditional Diffusion,"Nicolas Dufour, Victor Besnier, Vicky Kalogeiton, David Picard",https://openaccess.thecvf.com/content/CVPR2024/papers/Dufour_Dont_Drop_Your_Samples_Coherence-Aware_Training_Benefits_Conditional_Diffusion_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Dufour_Dont_Drop_Your_CVPR_2024_supplemental.pdf,
Flow-Guided Online Stereo Rectification for Wide Baseline Stereo,"Anush Kumar, Fahim Mannan, Omid Hosseini Jafari, Shile Li, Felix Heide",https://openaccess.thecvf.com/content/CVPR2024/papers/Kumar_Flow-Guided_Online_Stereo_Rectification_for_Wide_Baseline_Stereo_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Kumar_Flow-Guided_Online_Stereo_CVPR_2024_supplemental.pdf,
DNGaussian: Optimizing Sparse-View 3D Gaussian Radiance Fields with Global-Local Depth Normalization,"Jiahe Li, Jiawei Zhang, Xiao Bai, Jin Zheng, Xin Ning, Jun Zhou, Lin Gu",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_DNGaussian_Optimizing_Sparse-View_3D_Gaussian_Radiance_Fields_with_Global-Local_Depth_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_DNGaussian_Optimizing_Sparse-View_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.06912
ColorPCR: Color Point Cloud Registration with Multi-Stage Geometric-Color Fusion,"Juncheng Mu, Lin Bie, Shaoyi Du, Yue Gao",https://openaccess.thecvf.com/content/CVPR2024/papers/Mu_ColorPCR_Color_Point_Cloud_Registration_with_Multi-Stage_Geometric-Color_Fusion_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Mu_ColorPCR_Color_Point_CVPR_2024_supplemental.pdf,
HomoFormer: Homogenized Transformer for Image Shadow Removal,"Jie Xiao, Xueyang Fu, Yurui Zhu, Dong Li, Jie Huang, Kai Zhu, Zheng-Jun Zha",https://openaccess.thecvf.com/content/CVPR2024/papers/Xiao_HomoFormer_Homogenized_Transformer_for_Image_Shadow_Removal_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xiao_HomoFormer_Homogenized_Transformer_CVPR_2024_supplemental.pdf,
What If the TV Was Off? Examining Counterfactual Reasoning Abilities of Multi-modal Language Models,"Letian Zhang, Xiaotong Zhai, Zhongkai Zhao, Yongshuo Zong, Xin Wen, Bingchen Zhao",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_What_If_the_TV_Was_Off_Examining_Counterfactual_Reasoning_Abilities_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_What_If_the_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2310.06627
What Do You See in Vehicle? Comprehensive Vision Solution for In-Vehicle Gaze Estimation,"Yihua Cheng, Yaning Zhu, Zongji Wang, Hongquan Hao, Yongwei Liu, Shiqing Cheng, Xi Wang, Hyung Jin Chang",https://openaccess.thecvf.com/content/CVPR2024/papers/Cheng_What_Do_You_See_in_Vehicle_Comprehensive_Vision_Solution_for_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Cheng_What_Do_You_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.15664
Driving Everywhere with Large Language Model Policy Adaptation,"Boyi Li, Yue Wang, Jiageng Mao, Boris Ivanovic, Sushant Veer, Karen Leung, Marco Pavone",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Driving_Everywhere_with_Large_Language_Model_Policy_Adaptation_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2402.05932
UFORecon: Generalizable Sparse-View Surface Reconstruction from Arbitrary and Unfavorable Sets,"Youngju Na, Woo Jae Kim, Kyu Beom Han, Suhyeon Ha, Sung-Eui Yoon",https://openaccess.thecvf.com/content/CVPR2024/papers/Na_UFORecon_Generalizable_Sparse-View_Surface_Reconstruction_from_Arbitrary_and_Unfavorable_Sets_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Na_UFORecon_Generalizable_Sparse-View_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.05086
FAR: Flexible Accurate and Robust 6DoF Relative Camera Pose Estimation,"Chris Rockwell, Nilesh Kulkarni, Linyi Jin, Jeong Joon Park, Justin Johnson, David F. Fouhey",https://openaccess.thecvf.com/content/CVPR2024/papers/Rockwell_FAR_Flexible_Accurate_and_Robust_6DoF_Relative_Camera_Pose_Estimation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Rockwell_FAR_Flexible_Accurate_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.03221
eTraM: Event-based Traffic Monitoring Dataset,"Aayush Atul Verma, Bharatesh Chakravarthi, Arpitsinh Vaghela, Hua Wei, Yezhou Yang",https://openaccess.thecvf.com/content/CVPR2024/papers/Verma_eTraM_Event-based_Traffic_Monitoring_Dataset_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Verma_eTraM_Event-based_Traffic_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.19976
MoCha-Stereo: Motif Channel Attention Network for Stereo Matching,"Ziyang Chen, Wei Long, He Yao, Yongjun Zhang, Bingshu Wang, Yongbin Qin, Jia Wu",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_MoCha-Stereo_Motif_Channel_Attention_Network_for_Stereo_Matching_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chen_MoCha-Stereo_Motif_Channel_CVPR_2024_supplemental.pdf,
Koala: Key Frame-Conditioned Long Video-LLM,"Reuben Tan, Ximeng Sun, Ping Hu, Jui-hsien Wang, Hanieh Deilamsalehy, Bryan A. Plummer, Bryan Russell, Kate Saenko",https://openaccess.thecvf.com/content/CVPR2024/papers/Tan_Koala_Key_Frame-Conditioned_Long_Video-LLM_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Tan_Koala_Key_Frame-Conditioned_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.04346
Extend Your Own Correspondences: Unsupervised Distant Point Cloud Registration by Progressive Distance Extension,"Quan Liu, Hongzi Zhu, Zhenxi Wang, Yunsong Zhou, Shan Chang, Minyi Guo",https://openaccess.thecvf.com/content/CVPR2024/papers/Liu_Extend_Your_Own_Correspondences_Unsupervised_Distant_Point_Cloud_Registration_by_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Liu_Extend_Your_Own_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.03532
HallusionBench: An Advanced Diagnostic Suite for Entangled Language Hallucination and Visual Illusion in Large Vision-Language Models,"Tianrui Guan, Fuxiao Liu, Xiyang Wu, Ruiqi Xian, Zongxia Li, Xiaoyu Liu, Xijun Wang, Lichang Chen, Furong Huang, Yaser Yacoob, Dinesh Manocha, Tianyi Zhou",https://openaccess.thecvf.com/content/CVPR2024/papers/Guan_HallusionBench_An_Advanced_Diagnostic_Suite_for_Entangled_Language_Hallucination_and_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Guan_HallusionBench_An_Advanced_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2310.14566
ID-like Prompt Learning for Few-Shot Out-of-Distribution Detection,"Yichen Bai, Zongbo Han, Bing Cao, Xiaoheng Jiang, Qinghua Hu, Changqing Zhang",https://openaccess.thecvf.com/content/CVPR2024/papers/Bai_ID-like_Prompt_Learning_for_Few-Shot_Out-of-Distribution_Detection_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bai_ID-like_Prompt_Learning_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2311.15243
Breathing Life Into Sketches Using Text-to-Video Priors,"Rinon Gal, Yael Vinker, Yuval Alaluf, Amit Bermano, Daniel Cohen-Or, Ariel Shamir, Gal Chechik",https://openaccess.thecvf.com/content/CVPR2024/papers/Gal_Breathing_Life_Into_Sketches_Using_Text-to-Video_Priors_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Gal_Breathing_Life_Into_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2311.13608
Multi-modal Learning for Geospatial Vegetation Forecasting,"Vitus Benson, Claire Robin, Christian Requena-Mesa, Lazaro Alonso, Nuno Carvalhais, José Cortés, Zhihan Gao, Nora Linscheid, Mélanie Weynants, Markus Reichstein",https://openaccess.thecvf.com/content/CVPR2024/papers/Benson_Multi-modal_Learning_for_Geospatial_Vegetation_Forecasting_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Benson_Multi-modal_Learning_for_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2303.16198
Learning Diffusion Texture Priors for Image Restoration,"Tian Ye, Sixiang Chen, Wenhao Chai, Zhaohu Xing, Jing Qin, Ge Lin, Lei Zhu",https://openaccess.thecvf.com/content/CVPR2024/papers/Ye_Learning_Diffusion_Texture_Priors_for_Image_Restoration_CVPR_2024_paper.pdf,,
Bring Event into RGB and LiDAR: Hierarchical Visual-Motion Fusion for Scene Flow,"Hanyu Zhou, Yi Chang, Zhiwei Shi",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhou_Bring_Event_into_RGB_and_LiDAR_Hierarchical_Visual-Motion_Fusion_for_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhou_Bring_Event_into_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2403.07432
Entangled View-Epipolar Information Aggregation for Generalizable Neural Radiance Fields,"Zhiyuan Min, Yawei Luo, Wei Yang, Yuesong Wang, Yi Yang",https://openaccess.thecvf.com/content/CVPR2024/papers/Min_Entangled_View-Epipolar_Information_Aggregation_for_Generalizable_Neural_Radiance_Fields_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Min_Entangled_View-Epipolar_Information_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2311.11845
Jack of All Tasks Master of Many: Designing General-Purpose Coarse-to-Fine Vision-Language Model,"Shraman Pramanick, Guangxing Han, Rui Hou, Sayan Nag, Ser-Nam Lim, Nicolas Ballas, Qifan Wang, Rama Chellappa, Amjad Almahairi",https://openaccess.thecvf.com/content/CVPR2024/papers/Pramanick_Jack_of_All_Tasks_Master_of_Many_Designing_General-Purpose_Coarse-to-Fine_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Pramanick_Jack_of_All_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.12423
MMVP: A Multimodal MoCap Dataset with Vision and Pressure Sensors,"He Zhang, Shenghao Ren, Haolei Yuan, Jianhui Zhao, Fan Li, Shuangpeng Sun, Zhenghao Liang, Tao Yu, Qiu Shen, Xun Cao",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_MMVP_A_Multimodal_MoCap_Dataset_with_Vision_and_Pressure_Sensors_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_MMVP_A_Multimodal_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2403.17610
YolOOD: Utilizing Object Detection Concepts for Multi-Label Out-of-Distribution Detection,"Alon Zolfi, Guy Amit, Amit Baras, Satoru Koda, Ikuya Morikawa, Yuval Elovici, Asaf Shabtai",https://openaccess.thecvf.com/content/CVPR2024/papers/Zolfi_YolOOD_Utilizing_Object_Detection_Concepts_for_Multi-Label_Out-of-Distribution_Detection_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zolfi_YolOOD_Utilizing_Object_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2212.02081
SchurVINS: Schur Complement-Based Lightweight Visual Inertial Navigation System,"Yunfei Fan, Tianyu Zhao, Guidong Wang",https://openaccess.thecvf.com/content/CVPR2024/papers/Fan_SchurVINS_Schur_Complement-Based_Lightweight_Visual_Inertial_Navigation_System_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2312.01616
Collaborating Foundation Models for Domain Generalized Semantic Segmentation,"Yasser Benigmim, Subhankar Roy, Slim Essid, Vicky Kalogeiton, Stéphane Lathuilière",https://openaccess.thecvf.com/content/CVPR2024/papers/Benigmim_Collaborating_Foundation_Models_for_Domain_Generalized_Semantic_Segmentation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Benigmim_Collaborating_Foundation_Models_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.09788
Towards Variable and Coordinated Holistic Co-Speech Motion Generation,"Yifei Liu, Qiong Cao, Yandong Wen, Huaiguang Jiang, Changxing Ding",https://openaccess.thecvf.com/content/CVPR2024/papers/Liu_Towards_Variable_and_Coordinated_Holistic_Co-Speech_Motion_Generation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Liu_Towards_Variable_and_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2404.00368
JoAPR: Cleaning the Lens of Prompt Learning for Vision-Language Models,"Yuncheng Guo, Xiaodong Gu",https://openaccess.thecvf.com/content/CVPR2024/papers/Guo_JoAPR_Cleaning_the_Lens_of_Prompt_Learning_for_Vision-Language_Models_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Guo_JoAPR_Cleaning_the_CVPR_2024_supplemental.pdf,
AllSpark: Reborn Labeled Features from Unlabeled in Transformer for Semi-Supervised Semantic Segmentation,"Haonan Wang, Qixiang Zhang, Yi Li, Xiaomeng Li",https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_AllSpark_Reborn_Labeled_Features_from_Unlabeled_in_Transformer_for_Semi-Supervised_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_AllSpark_Reborn_Labeled_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.01818
Open-Vocabulary 3D Semantic Segmentation with Foundation Models,"Li Jiang, Shaoshuai Shi, Bernt Schiele",https://openaccess.thecvf.com/content/CVPR2024/papers/Jiang_Open-Vocabulary_3D_Semantic_Segmentation_with_Foundation_Models_CVPR_2024_paper.pdf,,
SIGNeRF: Scene Integrated Generation for Neural Radiance Fields,"Jan-Niklas Dihlmann, Andreas Engelhardt, Hendrik Lensch",https://openaccess.thecvf.com/content/CVPR2024/papers/Dihlmann_SIGNeRF_Scene_Integrated_Generation_for_Neural_Radiance_Fields_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Dihlmann_SIGNeRF_Scene_Integrated_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2401.01647
ViP-LLaVA: Making Large Multimodal Models Understand Arbitrary Visual Prompts,"Mu Cai, Haotian Liu, Siva Karthik Mustikovela, Gregory P. Meyer, Yuning Chai, Dennis Park, Yong Jae Lee",https://openaccess.thecvf.com/content/CVPR2024/papers/Cai_ViP-LLaVA_Making_Large_Multimodal_Models_Understand_Arbitrary_Visual_Prompts_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Cai_ViP-LLaVA_Making_Large_CVPR_2024_supplemental.pdf,
OVER-NAV: Elevating Iterative Vision-and-Language Navigation with Open-Vocabulary Detection and StructurEd Representation,"Ganlong Zhao, Guanbin Li, Weikai Chen, Yizhou Yu",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhao_OVER-NAV_Elevating_Iterative_Vision-and-Language_Navigation_with_Open-Vocabulary_Detection_and_StructurEd_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhao_OVER-NAV_Elevating_Iterative_CVPR_2024_supplemental.pdf,
1-Lipschitz Layers Compared: Memory Speed and Certifiable Robustness,"Bernd Prach, Fabio Brau, Giorgio Buttazzo, Christoph H. Lampert",https://openaccess.thecvf.com/content/CVPR2024/papers/Prach_1-Lipschitz_Layers_Compared_Memory_Speed_and_Certifiable_Robustness_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Prach_1-Lipschitz_Layers_Compared_CVPR_2024_supplemental.pdf,
All Rivers Run to the Sea: Private Learning with Asymmetric Flows,"Yue Niu, Ramy E. Ali, Saurav Prakash, Salman Avestimehr",https://openaccess.thecvf.com/content/CVPR2024/papers/Niu_All_Rivers_Run_to_the_Sea_Private_Learning_with_Asymmetric_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Niu_All_Rivers_Run_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.05264
Generating Illustrated Instructions,"Sachit Menon, Ishan Misra, Rohit Girdhar",https://openaccess.thecvf.com/content/CVPR2024/papers/Menon_Generating_Illustrated_Instructions_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Menon_Generating_Illustrated_Instructions_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.04552
Construct to Associate: Cooperative Context Learning for Domain Adaptive Point Cloud Segmentation,Guangrui Li,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Construct_to_Associate_Cooperative_Context_Learning_for_Domain_Adaptive_Point_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Construct_to_Associate_CVPR_2024_supplemental.pdf,
Robust Image Denoising through Adversarial Frequency Mixup,"Donghun Ryou, Inju Ha, Hyewon Yoo, Dongwan Kim, Bohyung Han",https://openaccess.thecvf.com/content/CVPR2024/papers/Ryou_Robust_Image_Denoising_through_Adversarial_Frequency_Mixup_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ryou_Robust_Image_Denoising_CVPR_2024_supplemental.pdf,
HandBooster: Boosting 3D Hand-Mesh Reconstruction by Conditional Synthesis and Sampling of Hand-Object Interactions,"Hao Xu, Haipeng Li, Yinqiao Wang, Shuaicheng Liu, Chi-Wing Fu",https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_HandBooster_Boosting_3D_Hand-Mesh_Reconstruction_by_Conditional_Synthesis_and_Sampling_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xu_HandBooster_Boosting_3D_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.18575
A-Teacher: Asymmetric Network for 3D Semi-Supervised Object Detection,"Hanshi Wang, Zhipeng Zhang, Jin Gao, Weiming Hu",https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_A-Teacher_Asymmetric_Network_for_3D_Semi-Supervised_Object_Detection_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_A-Teacher_Asymmetric_Network_CVPR_2024_supplemental.pdf,
GoMVS: Geometrically Consistent Cost Aggregation for Multi-View Stereo,"Jiang Wu, Rui Li, Haofei Xu, Wenxun Zhao, Yu Zhu, Jinqiu Sun, Yanning Zhang",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_GoMVS_Geometrically_Consistent_Cost_Aggregation_for_Multi-View_Stereo_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wu_GoMVS_Geometrically_Consistent_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.07992
Evaluating Transferability in Retrieval Tasks: An Approach Using MMD and Kernel Methods,"Mengyu Dai, Amir Hossein Raffiee, Aashish Jain, Joshua Correa",https://openaccess.thecvf.com/content/CVPR2024/papers/Dai_Evaluating_Transferability_in_Retrieval_Tasks_An_Approach_Using_MMD_and_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Dai_Evaluating_Transferability_in_CVPR_2024_supplemental.pdf,
AnyScene: Customized Image Synthesis with Composited Foreground,"Ruidong Chen, Lanjun Wang, Weizhi Nie, Yongdong Zhang, An-An Liu",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_AnyScene_Customized_Image_Synthesis_with_Composited_Foreground_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chen_AnyScene_Customized_Image_CVPR_2024_supplemental.pdf,
Training Generative Image Super-Resolution Models by Wavelet-Domain Losses Enables Better Control of Artifacts,"Cansu Korkmaz, A. Murat Tekalp, Zafer Dogan",https://openaccess.thecvf.com/content/CVPR2024/papers/Korkmaz_Training_Generative_Image_Super-Resolution_Models_by_Wavelet-Domain_Losses_Enables_Better_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Korkmaz_Training_Generative_Image_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2402.19215
Visual Objectification in Films: Towards a New AI Task for Video Interpretation,"Julie Tores, Lucile Sassatelli, Hui-Yin Wu, Clement Bergman, Léa Andolfi, Victor Ecrement, Frédéric Precioso, Thierry Devars, Magali Guaresi, Virginie Julliard, Sarah Lecossais",https://openaccess.thecvf.com/content/CVPR2024/papers/Tores_Visual_Objectification_in_Films_Towards_a_New_AI_Task_for_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Tores_Visual_Objectification_in_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2401.13296
OMG-Seg: Is One Model Good Enough For All Segmentation?,"Xiangtai Li, Haobo Yuan, Wei Li, Henghui Ding, Size Wu, Wenwei Zhang, Yining Li, Kai Chen, Chen Change Loy",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_OMG-Seg_Is_One_Model_Good_Enough_For_All_Segmentation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_OMG-Seg_Is_One_CVPR_2024_supplemental.pdf,
BiTT: Bi-directional Texture Reconstruction of Interacting Two Hands from a Single Image,"Minje Kim, Tae-Kyun Kim",https://openaccess.thecvf.com/content/CVPR2024/papers/Kim_BiTT_Bi-directional_Texture_Reconstruction_of_Interacting_Two_Hands_from_a_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Kim_BiTT_Bi-directional_Texture_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.08262
DetCLIPv3: Towards Versatile Generative Open-vocabulary Object Detection,"Lewei Yao, Renjie Pi, Jianhua Han, Xiaodan Liang, Hang Xu, Wei Zhang, Zhenguo Li, Dan Xu",https://openaccess.thecvf.com/content/CVPR2024/papers/Yao_DetCLIPv3_Towards_Versatile_Generative_Open-vocabulary_Object_Detection_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Yao_DetCLIPv3_Towards_Versatile_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.09216
UVEB: A Large-scale Benchmark and Baseline Towards Real-World Underwater Video Enhancement,"Yaofeng Xie, Lingwei Kong, Kai Chen, Ziqiang Zheng, Xiao Yu, Zhibin Yu, Bing Zheng",https://openaccess.thecvf.com/content/CVPR2024/papers/Xie_UVEB_A_Large-scale_Benchmark_and_Baseline_Towards_Real-World_Underwater_Video_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xie_UVEB_A_Large-scale_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.14542
Learning to Localize Objects Improves Spatial Reasoning in Visual-LLMs,"Kanchana Ranasinghe, Satya Narayan Shukla, Omid Poursaeed, Michael S. Ryoo, Tsung-Yu Lin",https://openaccess.thecvf.com/content/CVPR2024/papers/Ranasinghe_Learning_to_Localize_Objects_Improves_Spatial_Reasoning_in_Visual-LLMs_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ranasinghe_Learning_to_Localize_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.07449
Monocular Identity-Conditioned Facial Reflectance Reconstruction,"Xingyu Ren, Jiankang Deng, Yuhao Cheng, Jia Guo, Chao Ma, Yichao Yan, Wenhan Zhu, Xiaokang Yang",https://openaccess.thecvf.com/content/CVPR2024/papers/Ren_Monocular_Identity-Conditioned_Facial_Reflectance_Reconstruction_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2404.00301
C3: High-Performance and Low-Complexity Neural Compression from a Single Image or Video,"Hyunjik Kim, Matthias Bauer, Lucas Theis, Jonathan Richard Schwarz, Emilien Dupont",https://openaccess.thecvf.com/content/CVPR2024/papers/Kim_C3_High-Performance_and_Low-Complexity_Neural_Compression_from_a_Single_Image_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Kim_C3_High-Performance_and_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.02753
Self-Distilled Masked Auto-Encoders are Efficient Video Anomaly Detectors,"Nicolae-C?t?lin Ristea, Florinel-Alin Croitoru, Radu Tudor Ionescu, Marius Popescu, Fahad Shahbaz Khan, Mubarak Shah",https://openaccess.thecvf.com/content/CVPR2024/papers/Ristea_Self-Distilled_Masked_Auto-Encoders_are_Efficient_Video_Anomaly_Detectors_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ristea_Self-Distilled_Masked_Auto-Encoders_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2306.12041
Revisiting Non-Autoregressive Transformers for Efficient Image Synthesis,"Zanlin Ni, Yulin Wang, Renping Zhou, Jiayi Guo, Jinyi Hu, Zhiyuan Liu, Shiji Song, Yuan Yao, Gao Huang",https://openaccess.thecvf.com/content/CVPR2024/papers/Ni_Revisiting_Non-Autoregressive_Transformers_for_Efficient_Image_Synthesis_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ni_Revisiting_Non-Autoregressive_Transformers_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2406.05478
Distilling Vision-Language Models on Millions of Videos,"Yue Zhao, Long Zhao, Xingyi Zhou, Jialin Wu, Chun-Te Chu, Hui Miao, Florian Schroff, Hartwig Adam, Ting Liu, Boqing Gong, Philipp Krahenbuhl, Liangzhe Yuan",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhao_Distilling_Vision-Language_Models_on_Millions_of_Videos_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhao_Distilling_Vision-Language_Models_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2401.06129
